pi,p,b,r
-0.967741935483871,0.03225806451612903,1.0,-0.935483870967742
-0.9166666666666666,0.08333333333333333,1.0,-0.8333333333333334
0.9642857142857143,1.0,0.03571428571428571,-0.9285714285714286
0.058823529411764705,0.058823529411764705,0.0,-1.0
-0.023076923076923078,0.07692307692307693,0.1,-0.8461538461538461
-0.006912442396313362,0.06451612903225806,0.07142857142857142,-0.8709677419354839
-0.1090909090909091,0.09090909090909091,0.2,-0.8181818181818181
0.05714285714285716,0.2,0.14285714285714285,-0.7142857142857143
-0.06698564593301434,0.09090909090909091,0.15789473684210525,-0.8181818181818181
-0.033333333333333326,0.05,0.08333333333333333,-0.9
-0.0888888888888889,0.1111111111111111,0.2,-0.7777777777777778
-0.3333333333333333,0.0,0.3333333333333333,-1.0
0.14285714285714285,0.14285714285714285,0.0,-1.0
-0.1341991341991342,0.047619047619047616,0.18181818181818182,-0.9047619047619048
-0.125,0.0,0.125,-1.0
-0.05291005291005291,0.18518518518518517,0.23809523809523808,-0.6296296296296297
-0.016666666666666677,0.08333333333333333,0.1,-0.8333333333333334
0.05555555555555555,0.05555555555555555,0.0,-1.0
-0.5,0.0,0.5,-1.0
-0.20833333333333331,0.125,0.3333333333333333,-0.75
-0.22857142857142856,0.05714285714285714,0.2857142857142857,-0.8857142857142857
-0.3090909090909091,0.09090909090909091,0.4,-0.8181818181818181
-0.3,0.3,0.6,-0.4
-0.05714285714285716,0.14285714285714285,0.2,-0.7142857142857143
0.04999999999999999,0.25,0.2,-0.6
0.037037037037037035,0.037037037037037035,0.0,-1.0
-0.5,0.0,0.5,-1.0
0.19047619047619047,0.3333333333333333,0.14285714285714285,-0.7142857142857143
-0.3141025641025641,0.10256410256410256,0.4166666666666667,-0.7948717948717949
-0.16666666666666666,0.0,0.16666666666666666,-1.0
-0.8,0.2,1.0,-0.6
-0.15833333333333335,0.041666666666666664,0.2,-0.9166666666666666
-0.46296296296296297,0.037037037037037035,0.5,-0.9259259259259259
-1.0,0.0,1.0,-1.0
-0.9166666666666666,0.08333333333333333,1.0,-0.8333333333333334
-0.4411764705882353,0.058823529411764705,0.5,-0.8823529411764706
-0.30158730158730157,0.14285714285714285,0.4444444444444444,-0.7142857142857143
-0.4375,0.0625,0.5,-0.875
-0.5443548387096774,0.08064516129032258,0.625,-0.8387096774193549
-0.2845528455284553,0.04878048780487805,0.3333333333333333,-0.9024390243902439
-0.3,0.2,0.5,-0.6
-0.31092436974789917,0.11764705882352941,0.42857142857142855,-0.7647058823529411
-0.4230769230769231,0.07692307692307693,0.5,-0.8461538461538461
-0.9791666666666666,0.020833333333333332,1.0,-0.9583333333333334
-0.8333333333333334,0.16666666666666666,1.0,-0.6666666666666667
-0.39285714285714285,0.10714285714285714,0.5,-0.7857142857142857
-0.375,0.125,0.5,-0.75
-0.9523809523809523,0.047619047619047616,1.0,-0.9047619047619048
-0.5197368421052632,0.10526315789473684,0.625,-0.7894736842105263
-0.362962962962963,0.037037037037037035,0.4,-0.9259259259259259
-0.31891891891891894,0.08108108108108109,0.4,-0.8378378378378378
-0.2888888888888889,0.1111111111111111,0.4,-0.7777777777777778
0.2,0.2,0.0,-1.0
-0.4,0.1,0.5,-0.8
-1.0,0.0,1.0,-1.0
-0.4230769230769231,0.07692307692307693,0.5,-0.8461538461538461
-0.33333333333333337,0.08333333333333333,0.4166666666666667,-0.8333333333333334
-0.35714285714285715,0.14285714285714285,0.5,-0.7142857142857143
-0.09999999999999998,0.4,0.5,-0.19999999999999996
-0.8666666666666667,0.13333333333333333,1.0,-0.7333333333333334
-1.0,0.0,1.0,-1.0
-0.5757575757575757,0.09090909090909091,0.6666666666666666,-0.8181818181818181
-0.9152542372881356,0.0847457627118644,1.0,-0.8305084745762712
-0.25,0.0,0.25,-1.0
-1.0,0.0,1.0,-1.0
0.05,0.05,0.0,-1.0
-0.9666666666666667,0.03333333333333333,1.0,-0.9333333333333333
-0.90625,0.09375,1.0,-0.8125
-0.6190476190476191,0.047619047619047616,0.6666666666666666,-0.9047619047619048
-0.7411764705882353,0.058823529411764705,0.8,-0.8823529411764706
-0.738095238095238,0.11904761904761904,0.8571428571428571,-0.7619047619047619
-0.7090909090909091,0.09090909090909091,0.8,-0.8181818181818181
-0.9545454545454546,0.045454545454545456,1.0,-0.9090909090909091
-0.9230769230769231,0.07692307692307693,1.0,-0.8461538461538461
-0.875,0.125,1.0,-0.75
-0.9655172413793104,0.034482758620689655,1.0,-0.9310344827586207
-1.0,0.0,1.0,-1.0
-0.7365079365079366,0.06349206349206349,0.8,-0.873015873015873
-0.9615384615384616,0.038461538461538464,1.0,-0.9230769230769231
-1.0,0.0,1.0,-1.0
-0.9444444444444444,0.05555555555555555,1.0,-0.8888888888888888
-0.9,0.1,1.0,-0.8
-0.8717948717948718,0.1282051282051282,1.0,-0.7435897435897436
-0.9473684210526316,0.05263157894736842,1.0,-0.8947368421052632
-0.8363636363636364,0.16363636363636364,1.0,-0.6727272727272727
-1.0,0.0,1.0,-1.0
0.3333333333333333,0.3333333333333333,0.0,-1.0
0.08333333333333333,0.08333333333333333,0.0,-1.0
-1.0,0.0,1.0,-1.0
0.1111111111111111,0.1111111111111111,0.0,-1.0
0.5416666666666666,0.6666666666666666,0.125,-0.75
-0.25,0.0,0.25,-1.0
0.2,0.2,0.0,-1.0
-0.2,0.0,0.2,-1.0
-0.03409090909090909,0.09090909090909091,0.125,-0.8181818181818181
-0.0357142857142857,0.25,0.2857142857142857,-0.5
0.033333333333333326,0.13333333333333333,0.1,-0.8
-0.18823529411764706,0.0784313725490196,0.26666666666666666,-0.8431372549019608
-0.16180371352785147,0.06896551724137931,0.23076923076923078,-0.8620689655172413
-0.018315018315018305,0.07692307692307693,0.09523809523809523,-0.8461538461538461
-0.08333333333333331,0.25,0.3333333333333333,-0.5
-0.23809523809523808,0.09523809523809523,0.3333333333333333,-0.8095238095238095
0.2708333333333333,0.3333333333333333,0.0625,-0.875
-0.05555555555555555,0.0,0.05555555555555555,-1.0
